line,division,day_type,day_type_label,month,month_date,year,period,otp_pct,on_time,scheduled
1,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.762337806,6874,9017
2,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.472874494,2920,6175
3,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.686321563,4004,5834
4,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.484323757,3692,7623
5,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.493452473,3203,6491
6,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.518463811,5967,11509
7,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.859844181,10595,12322
S 42nd,A DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.979550448,11592,11834
A,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.676402347,4956,7327
B,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.767961165,3164,4120
C,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.83975,3359,4000
D,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.760590015,4022,5288
E,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.690777806,5453,7894
F,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.579040181,4597,7939
G,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.699329096,3961,5664
JZ,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.803453343,4374,5444
L,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.928731648,9109,9808
M,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.707619944,3761,5315
N,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.684730937,3601,5259
Q,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.698765894,3737,5348
R,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.618342152,3506,5670
S Fkln,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.99277825,2337,2354
S Rock,B DIVISION,1,Weekday,2015-01-01,2015-01-01T00:00:00Z,2015,2015-2019,0.953841572,3203,3358
1,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.70719198,6067,8579
2,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.370276224,2185,5901
3,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.58739765,3300,5618
4,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.42507985,3061,7201
5,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.403272845,2489,6172
6,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.40028222,4255,10630
7,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.772320287,9057,11727
S 42nd,A DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.99615797,11149,11192
A,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.629842181,4390,6970
B,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.684210526,2678,3914
C,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.785,2983,3800
D,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.672328659,3404,5063
E,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.691826411,5197,7512
F,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.530877428,3963,7465
G,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.695401229,3735,5371
